Zaman(s);Hata_e(t);Cikis_u(t);Hiz(m/s)
9.9400;2.0659;0.2976;17.6456
9.9600;2.1072;0.2915;17.6456
9.9800;1.9693;-0.2066;17.6456
10.0000;2.0398;0.2923;17.6456
10.0200;2.0809;0.2774;17.6456
10.0400;1.9458;-0.2121;17.6456
10.0600;2.0173;0.2842;17.6456
10.0800;2.0586;0.2676;17.6456
10.1000;1.9189;-0.2363;17.6456
10.1200;1.9859;0.2559;17.6456
10.1400;1.8528;-0.2805;17.6456
10.1600;1.9247;0.2130;17.6456
10.1800;1.9695;0.2059;17.6456
10.2000;1.8433;-0.2644;17.6456
10.2200;1.9088;0.1955;17.6456
10.2400;1.9557;0.2078;17.6456
10.2600;1.8258;-0.2777;17.6456
10.2800;1.8974;0.2080;17.6456
10.3000;1.9434;0.2053;17.6457
10.3200;1.8133;-0.2793;17.6456
10.3400;1.8806;0.1938;17.6456
10.3600;1.9273;0.2020;17.6456
10.3800;1.8000;-0.2754;17.6456
10.4000;1.8669;0.1907;17.6456
10.4200;1.9137;0.1999;17.6456
10.4400;1.7832;-0.2876;17.6456
10.4600;1.8538;0.1963;17.6456
10.4800;1.7327;-0.3112;17.6456
10.5000;1.8020;0.1495;17.6456
10.5200;1.8471;0.1485;17.6456
10.5400;1.7257;-0.3079;17.6456
10.5600;1.7949;0.1529;17.6456
10.5800;1.8367;0.1422;17.6456
10.6000;1.7144;-0.3103;17.6456
10.6200;1.7847;0.1560;17.6456
10.6400;1.8307;0.1552;17.6456
10.6600;1.7074;-0.3085;17.6456
10.6800;1.7723;0.1431;17.6456
10.7000;1.8134;0.1390;17.6456
10.7200;1.6908;-0.3132;17.6456
10.7400;1.7556;0.1372;17.6457
10.7600;1.6430;-0.3332;17.6457
10.7800;1.7109;0.1058;17.6456
10.8000;1.7515;0.0937;17.6456
10.8200;1.6415;-0.3193;17.6456
10.8400;1.7044;0.0995;17.6456
10.8600;1.7467;0.1024;17.6456
10.8800;1.6357;-0.3167;17.6456
10.9000;1.7028;0.1166;17.6456
10.9200;1.7443;0.1086;17.6456
10.9400;1.6292;-0.3214;17.6456
10.9600;1.6978;0.1249;17.6456
10.9800;1.7377;0.1089;17.6456
11.0000;1.6205;-0.3241;17.6456
11.0200;1.6894;0.1269;17.6456
11.0400;1.7333;0.1231;17.6456
11.0600;1.6195;-0.3081;17.6456
11.0800;1.6833;0.1206;17.6456
11.1000;1.5726;-0.3416;17.6457
11.1200;1.6391;0.0888;17.6456
11.1400;1.6830;0.0896;17.6456
11.1600;1.5725;-0.3317;17.6456
11.1800;1.6386;0.0975;17.6456
11.2000;1.6779;0.0849;17.6456
11.2200;1.5610;-0.3463;17.6456
11.2400;1.6236;0.0851;17.6456
11.2600;1.6634;0.0814;17.6456
11.2800;1.5437;-0.3597;17.6456
11.3000;1.6068;0.0791;17.6457
11.3200;1.6510;0.0877;17.6456
11.3400;1.5274;-0.3741;17.6456
11.3600;1.5954;0.0874;17.6456
11.3800;1.6390;0.0841;17.6456
11.4000;1.5115;-0.3882;17.6456
11.4200;1.5802;0.0830;17.6456
11.4400;1.4582;-0.4237;17.6456
11.4600;1.5275;0.0384;17.6456
11.4800;1.5669;0.0194;17.6456
11.5000;1.4449;-0.4280;17.6456
11.5200;1.5143;0.0345;17.6456
11.5400;1.5593;0.0322;17.6456
11.5600;1.4265;-0.4591;17.6456
11.5800;1.4975;0.0301;17.6456
11.6000;1.5413;0.0209;17.6456
11.6200;1.4074;-0.4713;17.6456
11.6400;1.4776;0.0176;17.6456
11.6600;1.5230;0.0148;17.6456
11.6800;1.3819;-0.5023;17.6456
11.7000;1.4547;0.0087;17.6456
11.7200;1.4946;-0.0156;17.6457
11.7400;1.3446;-0.5489;17.6456
11.7600;1.4181;-0.0174;17.6456
11.7800;1.2693;-0.6157;17.6456
11.8000;1.3406;-0.0933;17.6456
11.8200;1.3837;-0.1055;17.6456
11.8400;1.2382;-0.6319;17.6456
11.8600;1.3098;-0.1155;17.6456
11.8800;1.3524;-0.1298;17.6456
11.9000;1.1984;-0.6806;17.6456
11.9200;1.2720;-0.1413;17.6456
11.9400;1.3163;-0.1542;17.6456
11.9600;1.1588;-0.7196;17.6456
11.9800;1.2326;-0.1724;17.6456
12.0000;1.2779;-0.1831;17.6456
12.0200;1.1168;-0.7614;17.6456
12.0400;1.1975;-0.1859;17.6456
12.0600;1.2427;-0.2109;17.6456
12.0800;1.0844;-0.7807;17.6456
12.1000;1.1612;-0.2228;17.6456
12.1200;1.0077;-0.8423;17.6456
12.1400;1.0896;-0.2792;17.6456
12.1600;1.1365;-0.3015;17.6456
12.1800;0.9869;-0.8488;17.6456
12.2000;1.0687;-0.2936;17.6456
12.2200;1.1161;-0.3145;17.6456
12.2400;0.9685;-0.8563;17.6456
12.2600;1.0492;-0.3088;17.6456
12.2800;1.1015;-0.3129;17.6456
12.3000;0.9539;-0.8645;17.6456
12.3200;1.0317;-0.3259;17.6456
12.3400;1.0846;-0.3222;17.6456
12.3600;0.9352;-0.8808;17.6456
12.3800;1.0179;-0.3236;17.6456
12.4000;0.8768;-0.9177;17.6456
12.4200;0.9551;-0.3910;17.6456
12.4400;1.0048;-0.3980;17.6456
12.4600;0.8715;-0.9016;17.6456
12.4800;0.9488;-0.3936;17.6456
12.5000;0.9986;-0.3984;17.6456
12.5200;0.8693;-0.8900;17.6456
12.5400;0.9490;-0.3827;17.6457
12.5600;1.0014;-0.3847;17.6456
12.5800;0.8760;-0.8699;17.6456
12.6000;0.9505;-0.3861;17.6456
12.6200;1.0002;-0.3856;17.6456
12.6400;0.8850;-0.8344;17.6456
12.6600;0.9633;-0.3601;17.6456
12.6800;1.0107;-0.3742;17.6456
12.7000;0.8943;-0.8219;17.6456
12.7200;0.9668;-0.3628;17.6457
12.7400;0.8645;-0.8188;17.6456
12.7600;0.9408;-0.3772;17.6456
12.7800;0.9881;-0.3876;17.6456
12.8000;0.8923;-0.7724;17.6456
12.8200;0.9656;-0.3531;17.6456
12.8400;1.0123;-0.3591;17.6456
